"HolderAddress","PrizeTier","Prize"
0x01ab50c379aa098a199feda4c5a51d623ffcd764,2,363636363636363600000
0x01ab50c379aa098a199feda4c5a51d623ffcd764,2,363636363636363600000
0x01ab50c379aa098a199feda4c5a51d623ffcd764,2,363636363636363600000
0x01ab50c379aa098a199feda4c5a51d623ffcd764,2,363636363636363600000
0x01ab50c379aa098a199feda4c5a51d623ffcd764,1,714285714285714250000
0x116549cd0715ce44f4c6bccb5b268ebc76e3969b,2,363636363636363600000
0x28bd134b750f66559dd25e18f9ea053823d721fe,2,363636363636363600000
0x386eb78f2ee79adde8bdb0a0e27292755ebfea58,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,2,363636363636363600000
0x387fca8d7e2e09655b4f49548607b55c0580fc63,1,714285714285714250000
0x3b8247040a6627aba98d9d9905870c44d91dd80d,2,363636363636363600000
0x63345f52beb91b6ab35b145e8a633d8dd1234e37,2,363636363636363600000
0x75567431013605196350c544400bda72561794bd,2,363636363636363600000
0x80845058350b8c3df5c3015d8a717d64b3bf9267,2,363636363636363600000
0x80845058350b8c3df5c3015d8a717d64b3bf9267,2,363636363636363600000
0x80845058350b8c3df5c3015d8a717d64b3bf9267,2,363636363636363600000
0x80845058350b8c3df5c3015d8a717d64b3bf9267,2,363636363636363600000
0x80845058350b8c3df5c3015d8a717d64b3bf9267,2,363636363636363600000
0x80845058350b8c3df5c3015d8a717d64b3bf9267,2,363636363636363600000
0x8558f502887a9a52c4b265d72327e0e529ff790d,2,363636363636363600000
0x8558f502887a9a52c4b265d72327e0e529ff790d,2,363636363636363600000
0x8558f502887a9a52c4b265d72327e0e529ff790d,2,363636363636363600000
0x8558f502887a9a52c4b265d72327e0e529ff790d,1,714285714285714250000
0x8558f502887a9a52c4b265d72327e0e529ff790d,1,714285714285714250000
0x8f6438f028b0fba4dcea654bcd7f46e868f0129e,2,363636363636363600000
0x8f6438f028b0fba4dcea654bcd7f46e868f0129e,2,363636363636363600000
0x8f6438f028b0fba4dcea654bcd7f46e868f0129e,2,363636363636363600000
0x8f6438f028b0fba4dcea654bcd7f46e868f0129e,1,714285714285714250000
0x92f646c2b353bb7fce47e59747b470f7c6c0571a,2,363636363636363600000
0xb86996a653923342f5449f593d5d1ed833c145da,1,714285714285714250000
0xbefad285add14e8484fe5f868d3819ba900cb7cf,2,363636363636363600000
0xd1c04737c664b1baae54021fdbd22b9841c5d9dc,2,363636363636363600000
0xddc84f04f68facd30fbc23d8fac22250b86ac9b8,1,714285714285714250000
0xe32d8f8f4b49dfdf5fdf308197c49ba8e7c22f63,2,363636363636363600000
0xf113b627d194e26aa85a1a66e34d9b54adef8ffb,2,363636363636363600000
