"HolderAddress","Balance","PendingBalanceUpdate"
"0x0014a4f88a92d3924a3f553dc51c290ce06ae125","0.007317","No"
"0x0027041f0a99173718e5cec92c71bc240a629f10","989.4784","No"
"0x003b509dc4fac9c34a3261c226eda44d92463b39","1980.192248","No"
"0x0067eec7ad35e72613d760e917890d1b7e876e4e","110","No"
"0x00831160a70daac7003aae04589c5f99ced84986","131.919838","No"
"0x00a4fee5e5bf52eb41d075928907528668c33658","757","No"
"0x00d5319f67e04e241aefb68361dcd1724026efc1","26.67","No"
"0x00d8dc2f6648dfc0472a673d85f4bc022d5cd17a","0.763562","No"
"0x00f0b77cf2c165e7d0afa026c2dc92bc9954aee6","155.33","No"
"0x01043fc0188f6ac1e73617a7256c358f4a2bb4af","1400","No"
"0x0105efdb9ff7024fda80b5e96bb055d5e7287ea8","10.82","No"
"0x01352949dd561b75b7603ddf5cd1efb0d5d28f7c","164","No"
"0x0151cc37e580002656bd501d6084e6a2131d8b04","100","No"
"0x015f2c3a2eb4a3f0e399950bfdfb05d735d00036","65","No"
"0x0181a654e4b48bf9b44a37e377b7477d7586d9b2","725.263942","No"
"0x0189564533cab4fe768e394ebd41e74c4ad8fc74","19","No"
"0x01a0f8f364c2fec07cfcdebd2980da3f950d0410","0.000601","No"
"0x01a535007f097bff0ed6bb4d5e4a927ce1c47843","9033.260721","No"
"0x01ab50c379aa098a199feda4c5a51d623ffcd764","678904.993007","No"
"0x01c26f1c58aba9b87b5debde5d9228080559492d","80","No"
"0x01d0b1a17194ea29278d2ab02dcd4ecc27c4fcaa","136.231741","No"
"0x01d1d0d9b9351d01b9a76452e3b337f9df8ac20c","165","No"
"0x01f5750b1cddac2ca23c1f91e8feb9f4fc02a652","1100","No"
"0x01f84370161b547329481a2c35b9e99fd2f95d5b","1028.517433","No"
"0x021a8db81d9d59252f279bc59d453d143cd0a696","1000","No"
"0x021c3f389368ef51fd981df10bfd1e3b98c22a83","52.58","No"
"0x02438f1de85e3fa28405153b11911c2907a1047e","2000.01","No"
"0x025376e7e7f161a198fb5fc90a220a553836d11a","50.92018","No"
"0x02599fc9764b241365606ebc75b3f4db57fc8224","15.176045","No"
"0x026a14f6a1b4bd2a857e07b80a47413fac56bb19","24","No"
"0x0288c371776c041230c7495d2641ec24a1b28b44","72","No"
"0x02a0090d5753bab8942727dd897d9e724941640a","5","No"
"0x02a0c9ee30f6ebb137a126f17f0b3eb8ba0827aa","500.006","No"
"0x03000a0ecb1898040c26cd418570cd480775f0da","409.163428","No"
"0x0360b9acda197703cb3040715c75659c38f13cf7","100","No"
"0x0364c42a15c2cc3073eba1e11ee5ab0c6a1b5b40","2000","No"
"0x03886228bb749eeba43426d2d6b70eba472f4876","206.48998","No"
"0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6","30","No"
"0x03aec071ee9e5bdafba5d1f79361b6cba5331895","24","No"
"0x03af6bc20d9a45bf4bdc157b7e0ff8b1927ea796","93","No"
"0x03b594c607cc31a2c6a6a57f0ec8875b16a4fd37","100","No"
"0x03c05ad335ea309fe2d8e0a38edbd6b4ffe7a41d","1000","No"
"0x03d059b20e984fc3eca2f559a060958379d78e89","500","No"
"0x03f0033ab459eb532ba92ecf9d220b6539e6ee7e","184","No"
"0x0409ef7be44c19b3116d4e4e6f42793142577df1","121","No"
"0x041af8f492e0782c6dc5435cceba5684716f4e86","280.099065","No"
"0x0430cf918ae09ff422dc63a0d6e0efd2999b91a2","995.27","No"
"0x04776cd98f714763e0f4c7a9011d9bad63ce17db","50473.150002","No"
"0x049d49048dcd19892b2902a230afd89e3279a0da","10","No"
"0x049f66992f3651eddbc539f7e230c6e51c9ed56f","14.76","No"
"0x04c57961a250d892996ed849a86dcac62681dbb1","19.78","No"
"0x04d6c05c9e618c165270738bea6885114eb366a9","82.161042","No"
"0x04e8672877425110d4ddc31955233e7af7775072","199","No"
"0x04f26561742cf0cef86856ced98c8323c1316d87","4.567415","No"
"0x04f411b9e7b34565d9674049dd49baa86fa7b4e2","10","No"
"0x04fb5857bd5d98780602b84bf03eabdb0d3ff90b","68","No"
"0x050da1bd1ec70e35df76398e9907459ec85133b8","100","No"
"0x052435ad62a2fb966768da6b5f5cfdf229cff9e4","37.37087","No"
"0x05267f8267d6e032427906d89a76c1972201a6d5","99.081851","No"
"0x05291b9de3e581f1091c093bc9a77e7f4cecea05","1000","No"
"0x0542e8f95f765b81cd6a08db37d914f664db5d3e","1.019414","No"
"0x0567abf0691d6b06776921502f40c2ceddfcc95b","99.109453","No"
"0x057f1eab2d845a08f5c8902b070d6f365df148f8","1500","No"
"0x058e6cf8872e54f8196b0dfb354344906a0798a6","500","No"
"0x05db649c84d63edb7f746ef62636012b15937cbd","1006","No"
"0x05db7a553b1acd10e0774ab809314cacafb4943b","90.51988","No"
"0x05e663b62d62f1cf6eef441063486bbcd6fb1a47","1183.08","No"
"0x06391002f52d13ca9797ee4ecf1cac2699f350cc","50","No"
"0x064484226535aa0b0beed0ee7aaf61b58edf2f79","71.73578","No"
"0x0694b8c934de5e88c3681f5a0b2aea119d4cbbaa","10.713914","No"
"0x06b8e0f3d7aca0c35868b3a5e207ceb7379fd9a2","1000","No"
"0x06b902875e7d8649cd9cf6cdcc64eb6fd7004d55","388.374611","No"
"0x06b97b4e03a2d80420f791b955cc7f4c9546972d","1001.952426","No"
"0x06bd18b30189ec935c6299a43caf692a7ba649e7","984","No"
"0x06be638aa0779242b4069e7f56c778f8c30d1ed8","263","No"
"0x06c24a8fed40ddd5313070b9c351ebea0ef30967","200","No"
"0x06ccf5f3d777d123bc9ddc7b06a91f97e87caab2","25","No"
"0x06db5b2635e4bbba74a66d9d106965bb923836c9","100","No"
"0x06e9f89faeab18673ea6335c2e404670a83932ab","83.02","No"
"0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b","986","No"
"0x06fe20f191c565b4d653e713a94f3011f61c36a4","1293.625942","No"
"0x070330e027a3e4327ba69f0c8a1885df4b545837","103.113177","No"
"0x07170f30c587955bd937ea21e814c9f4751f52f9","187","No"
"0x072230ce32580641e554f7ee7123f5a686395c6f","996.764852","No"
"0x0731bc2261b9432622797e113951bb27f7e543d1","300","No"
"0x07b99e8d8d0a949bf54bf2a69804e024de7068b9","6","No"
"0x07d2b7aff914478bd457798c52a725844f1ec36a","104.36","No"
"0x07d4fb80df1c085fd877c74723f8c29c6419cb44","108","No"
"0x07ec2d3295970d5cd694ee26a4472bff7ab6b3fb","100","No"
"0x07f286281ea34b8234c95c338d388301134a5f14","132","No"
"0x0825d6c1d8e93b29c8f057e90457bb938061f6ad","100","No"
"0x0839ddd64018e2922f1ce010724695bd1e0af0c4","200","No"
"0x084673a8f133369288ae5f1a2871302b47232e25","17.32035","No"
"0x087b03c336b4798eeafdc01c5d50074e926063d7","20000","No"
"0x087fb6d2664a4416bd1c9203b23783eb04a51656","18.16","No"
"0x0880f58255a5052db16a763efdeef144a3ba9a6d","99.66","No"
"0x088884cedbe9d48b9fb60de6e5e18a5cbb3e66a2","105","No"
"0x08ce9a4a535b323d82d62986bef156b082c6eb0d","990","No"
"0x08d3aa61a8a3e0c17e164dcc369bb3f82e7e4257","79.200174","No"
"0x08e5e4df2f56be734ead5c80a3b2377616210a62","2361.376005","No"
"0x08e8a6de8cc0af57912cf3a70bc0b21023fffd3b","419.046337","No"
"0x08ebfdb527eb9215e05cc5959aefaf68df0f7e76","100","No"
"0x08f309a751d6ddcb2afb1e9862a9cae88596bd64","2","No"
"0x094aa624dde0c785aed7e50fa46f5d53790f68e3","100","No"
"0x0951f8a9ed7d398682879fa6fbeec3525f784b88","800","No"
"0x0975a004eed53a276b84862aa6c27df8ef543f2c","50","No"
"0x0977df855b344a9b31adc7bafb97ecd5fe7d19da","123.29855","No"
"0x0982c42a58fb8bf9e31bf726e1ed41a90e73be54","18.886509","No"
"0x09a4fb0e4d31fe26cf4e4c0ed8df65dd5f15ee3d","45","No"
"0x09b79327dbdba51f6c49ec5a69e70cfb985abb61","0.003074","No"
"0x09b82c76969a395c884c7985624fd12bca8c7c4f","599","No"
"0x09dbbbfd4ce3a0a1f43d0a9d100c8a5378703027","200","No"
"0x0a4480f767cb1c0e5e9fc11419b8bbe7e57fb12e","1000","No"
"0x0a500947ec94e2155d472335cff9c270fdde0c33","21.749325","No"
"0x0a53765848ecb8ccd820781fc47c9c95bfcf3c36","50","No"
"0x0a8b36bb91f96dd88ff864b685b53513a829e0ea","712.57","No"
"0x0a8d79165b8a2fc0cb9bf6df0e0b24315a00d2bf","5000","No"
"0x0a9e427170c4c9978e190fc88199ea6d371c7b6e","999","No"
"0x0aabf80d728061ebd60b56f62df82687425bb7de","87","No"
"0x0ac05a4bcaee53b18fc3c9eebf74b186207dbf89","975.513913","No"
"0x0aeeeae3491820ceae297232ec9ebc483494ad0e","250","No"
"0x0b0806ee651e7b05fc383d1b1bed3525148e9e87","50","No"
"0x0b272be4d991d4a995823f3462659e08349ce5f0","422.71","No"
"0x0b51de99f1c025afa277bd314073e24de4ec4740","490","No"
"0x0b5729f3720544c013197fd897a84798e5dc13e0","200","No"
"0x0b7e96de33a019a9b96e07b50d8882b98815904d","26","No"
"0x0b85341f7c8b78341763eac1fc9083f027074ca1","144.687742","No"
"0x0b8cef085e20061b6b2a081b5e1c045e09fafd88","250","No"
"0x0b934f91e49d92fab090c735bc0440cca369e32b","22.554343","No"
"0x0b979efd28bd51dc8baf42b83ae7c85a9918ea1c","199","No"
"0x0baf9c36d1ecf758dddf89b39283f8180ad74e99","200","No"
"0x0bba4edfa8cbb4d98c51c8c4a399424ff78c9d16","174.042912","No"
"0x0bf4163fd2ec019a2d0229fb6182aaf184a0037e","99.2","No"
"0x0bf5d8f5f2d16595cdda855cc3f1b904ff1b51e5","100","No"
"0x0bfafad2fe2f244a24861c497c37bc8bd189e9ef","20","No"
"0x0c13559105fac0e9e81a96133d03b4da0f1cde60","50","No"
"0x0c6ac3fcea667fd6c62483ce1dbbce6f6ce0fb1f","94.316837","No"
"0x0c6da1a80f9567bb0258da2a2f46817e4dd03152","50","No"
"0x0c8f2bc48ca5158bd330c19e7661790d2241c88f","20","No"
"0x0cb77ac3822ef257eb822837a8659723fab9eccf","100","No"
"0x0cc407619f838d73f48258e2b05697a73d9f83ae","99.95224","No"
"0x0cf8be2730b7fe803baaf6c190eb7e5b739fb06c","44","No"
"0x0d07bbe924406dc94b9606993b2c3fe1c0b82cb5","75","No"
"0x0d389aa79159030f4c7651ea98f56193f448c3f9","250","No"
"0x0d5ef5088ffdedb05cfa80ea1b4f5992a3b7b4af","500","No"
"0x0d8abd2e094bb747f6992bd730dcc500a62f09c2","175","No"
"0x0d947d68f583e8b23ff816df9ff3f23a8cfd7496","1000","No"
"0x0d9d376e582b82b71122814756c103cadd5a59c1","3333.33","No"
"0x0db5e7924d87d2ec27876882e7af911a58050dd1","1250.839041","No"
"0x0dc432edaa4f0f99c999fa5b14b08548b77a061f","104.95","No"
"0x0ddfc5f69c69d327f3b452c91d9abdf5490cde4c","1886.328396","No"
